Title;Link;Author;Publishing Year
Lola Vendetta. Una habitación propia con wifi;https://www.penguinlibros.com/es/los-mejores-comic/229258-libro-lola-vendetta-una-habitacion-propia-con-wifi-9788426407658;Raquel Riba Rossy;2021
Laborachismo;https://www.penguinlibros.com/es/economia-politica-y-actualidad/226598-libro-laborachismo-9788426409508;Javirroyo;2021
Todos deberíamos ser feministas / Querida...;https://www.penguinlibros.com/es/economia-politica-y-actualidad/37206-libro-todos-deberiamos-ser-feministas-querida-ijeawele-como-educar-en-el-feminismo-9788439737001;Chimamanda Ngozi Adichie;2019
Intensas;https://www.penguinlibros.com/es/economia-politica-y-actualidad/334376-libro-intensas-9788419449078;Ana Requena;2023
100 mujeres que cambiaron el mundo...;https://www.penguinlibros.com/es/libros-ninos-7-anos/266172-libro-100-mujeres-que-cambiaron-el-mundo-coleccion-100-9788427215023;Sandra Elmert;2018
Pecadoras capitales;https://www.penguinlibros.com/es/economia-politica-y-actualidad/11869-libro-pecadoras-capitales-9788417247645;Paula Bonet;2020
¿Quién le hacía la cena a Adam Smith?;https://www.penguinlibros.com/es/economia-politica-y-actualidad/11655-libro-quien-le-hacia-la-cena-a-adam-smith-9788499925981;Katrine Marçal;2016
Divinas;https://www.penguinlibros.com/es/biografias-e-historias-reales/338811-libro-divinas-9788419688491;Andrea D. Morales;2024
El hombre prehistórico es también una mujer;https://www.penguinlibros.com/es/economia-politica-y-actualidad/255225-libro-el-hombre-prehistorico-es-tambien-una-mujer-9788426410092;Marylène Patou-Mathis;2021
Brujas;https://www.penguinlibros.com/es/libros-de-historia/276340-libro-brujas-9788418619571;Adela Muñoz Páez;2022
¿De quién es esta historia?;https://www.penguinlibros.com/es/economia-politica-y-actualidad/315778-libro-de-quien-es-esta-historia-9788426424457;Rebecca Solnit;2023
La mejor madre del mundo;https://www.penguinlibros.com/es/literatura-contemporanea/37107-libro-la-mejor-madre-del-mundo-9788439734970;Nuria Labari;2019
La esclavitud femenina;https://www.penguinlibros.com/es/economia-politica-y-actualidad/278630-libro-la-esclavitud-femenina-9788491055440;John Stuart Mill;2022
Las chicas son guerreras;https://www.penguinlibros.com/es/biografias-e-historias-reales/30097-libro-las-chicas-son-guerreras-9788490436547;Irene Cívico;2016
Un paseo por la vida de Simone de Beauvoir;https://www.penguinlibros.com/es/economia-politica-y-actualidad/30609-libro-un-paseo-por-la-vida-de-simone-de-beauvoir-9788426405371;Carmen G. de la Cueva;2018
Histérica;https://www.penguinlibros.com/es/economia-politica-y-actualidad/334405-libro-histerica-9788419449757;Elissa Bassist;2023
Isabel II;https://www.penguinlibros.com/es/libro-de-biografias/38653-libro-isabel-ii-9788430607952;Isabel Burdiel;2010
Todo lo que mi novio debe saber sobre...;https://www.penguinlibros.com/es/economia-politica-y-actualidad/328755-libro-todo-lo-que-mi-novio-debe-saber-sobre-feminismo-9788425365041;Mara Mariño;2023
Coloquio de las quiltras;https://www.penguinlibros.com/es/economia-politica-y-actualidad/336080-libro-coloquio-de-las-quiltras-9788419951090;Lina Meruane;2024
No me toques los limones;https://www.penguinlibros.com/es/novela-grafica/12567-libro-no-me-toques-los-limones-9788417752941;Shara Limone;2020
Contra los hijos;https://www.penguinlibros.com/es/literatura-contemporanea/37061-libro-contra-los-hijos-9788439734062;Lina Meruane;2018
Dos veces en el mismo río;https://www.penguinlibros.com/es/libros-de-historia/339604-libro-dos-veces-en-el-mismo-rio-9788419851406;Sofi Oksanen;2024
Las aventuras de la China Iron (Mapa de las...;https://www.penguinlibros.com/es/literatura-contemporanea/37169-libro-las-aventuras-de-la-china-iron-mapa-de-las-lenguas-9788439736264;Gabriela Cabezón Cámara;2019
Hablarán de nosotras;https://www.penguinlibros.com/es/libro-de-biografias/33995-libro-hablaran-de-nosotras-9788466341981;Sandra Barneda;2017
Mujeres en la cima del mundo;https://www.penguinlibros.com/es/economia-politica-y-actualidad/334341-libro-mujeres-en-la-cima-del-mundo-9788417821760;Lucy-Anne Holmes;2022
Antología feminista;https://www.penguinlibros.com/es/economia-politica-y-actualidad/275074-libro-antologia-feminista-9788418619489;LASTESIS;2022
Todo lo que no puedo decir;https://www.penguinlibros.com/es/libro-de-biografias/37188-libro-todo-lo-que-no-puedo-decir-9788439736608;Emilie Pine;2020
Un cuarto propio;https://www.penguinlibros.com/es/economia-politica-y-actualidad/30716-libro-un-cuarto-propio-9788426408518;Virginia Woolf;2020
Madres arrepentidas;https://www.penguinlibros.com/es/economia-politica-y-actualidad/275149-libro-madres-arrepentidas-9788418052040;Orna Donath;2022
Panfleto (Mapa de las lenguas);https://www.penguinlibros.com/es/economia-politica-y-actualidad/37171-libro-panfleto-mapa-de-las-lenguas-9788439736288;María Moreno;2019
Nosotras. Historias de mujeres y algo más;https://www.penguinlibros.com/es/libro-de-biografias/6955-libro-nosotras-historias-de-mujeres-y-algo-mas-9788420433349;Rosa Montero;2018
Ni agresivos ni sumisos;https://www.penguinlibros.com/es/libros-crianza/307984-libro-ni-agresivos-ni-sumisos-9788425362453;Olga Castanyer Mayer-Spiess;2022
Monólogos de la vagina;https://www.penguinlibros.com/es/economia-politica-y-actualidad/304364-libro-monologos-de-la-vagina-9788466662741;Eve Ensler;2018
Todas las cosas que nos tienen HASTA EL COÑO;https://www.penguinlibros.com/es/economia-politica-y-actualidad/261612-libro-todas-las-cosas-que-nos-tienen-hasta-el-cono-9788418051265;Vanessa G. Medina;2021
Íbamos a ser reinas;https://www.penguinlibros.com/es/economia-politica-y-actualidad/10987-libro-ibamos-a-ser-reinas-9788466662390;Nuria Varela;2017
Marilyn;https://www.penguinlibros.com/es/libro-de-biografias/30702-libro-marilyn-9788426407771;María Hesse;2020
Momentos de vida;https://www.penguinlibros.com/es/libro-de-biografias/30779-libro-momentos-de-vida-9788426416537;Virginia Woolf;2008
Tranquilas;https://www.penguinlibros.com/es/literatura-contemporanea/30679-libro-tranquilas-9788426407030;María Folguera;2019
Tu cuerpo es único y es extraordinario...;https://www.penguinlibros.com/es/libros-ninos-7-anos/304431-libro-tu-cuerpo-es-unico-y-es-extraordinario-aprende-a-quererlo-9788427209725;Jessica Sanders;2020
Las chicas son de ciencias;https://www.penguinlibros.com/es/biografias-e-historias-reales/30206-libro-las-chicas-son-de-ciencias-9788490438824;Irene Cívico;2018
Autodefensa feminista;https://www.penguinlibros.com/es/economia-politica-y-actualidad/329274-libro-autodefensa-feminista-9788419248213;Maitena Monroy;2023
Indomable;https://www.penguinlibros.com/es/libros-de-poesia/30202-libro-indomable-9788490438800;Bebi Fernández;2017
